Protein.IDs,flybase_gene,Entry,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
FBtr0309224;FBtr0309223;FBtr0074708;FBtr0074707,kek5,Q86PM1,3858947.8446812,11925537.8300744,60667500.0000012,82568999.9999996,14008207.8885698,8061638.11522583,6071237.51033273,10081365.1192378,3858947.8446812,10370422.3627796,15412762.5121115,15064513.7616553,7923546.12512034,5213149.83363247,13844460.8835107,3858947.8446812,3858947.8446812
FBtr0346014;FBtr0074711,Nat1,Q9VWI2,6264325000.00001,6611875000.00014,6440850000,5970600000.00002,6825874999.99998,5149375000.00004,5334799999.99999,2135399999.99999,1050945000,992120000.000008,1251702500.00001,1415592499.99998,767824999.999994,1648200000.00001,2108125000.00001,1891825000,890587499.999997
FBtr0074712,CG12203,Q9VWI0,2072474999.99999,1234532499.99999,1542550000.00001,1703124999.99999,1799475000.00001,1703650000.00001,2060800000.00001,3410974999.99994,2279274999.99998,1845625000,1739850000.00003,2144614999.99999,6017374999.99994,5143550000.00001,3512475000.00005,5726724999.99995,6167524999.99991
FBtr0339439;FBtr0307194;FBtr0307193;FBtr0307192;FBtr0074720;FBtr0074719;FBtr0074718;FBtr0074715;FBtr0074714;FBtr0074713;FBtr0339440;FBtr0074717;FBtr0074716,Pfrx,Q0KHQ6,80330500.0000009,271057499.999998,418227499.999999,382167500.000003,1083340000.00001,1134815000.00001,1347099999.99997,628217500.000001,476739999.999995,465327500.000008,501745000.000006,481189999.999991,148558249.999999,559964999.999994,670200000.000008,1287735000.00002,2215275000.00005
FBtr0074728;FBtr0074727;FBtr0331158,car,Q9Y1I2,115007499.999999,179387500.000002,181999999.999998,216807499.999996,141495250,83592500.0000009,111565000.000001,125684000,20451381.5014802,56655087.2028861,75412500.000002,65657804.5197365,36617270.7423459,109065999.999999,196022500.000003,96443000.0000007,96781249.9999986
FBtr0074730,CG14205,Q9VWG4,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,64236661.8214668,193462212.200676,109131361.584465,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812
FBtr0344339;FBtr0308192;FBtr0074732;FBtr0074731,RpS10b,Q9VWG3,1.4925e+10,12438750000,17366250000,18463249999.9997,17525750000.0002,16030750000,18186750000.0001,11862749999.9999,14623500000,13293999999.9998,13988250000.0001,13237000000.0001,19655749999.9998,14240750000,11290000000.0001,11049575000.0002,7050774999.99999
FBtr0074734,CG14207,Q8IQW5,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,5946333.48616707,3858947.8446812,4560494.74557973,21846749.8935087,11434325.5440355,50798319.5627603,27542201.8678832,274934999.999999,164874999.999995,137457500.000003,218800000.000001,220654999.999997
FBtr0344069;FBtr0074739;FBtr0074738;FBtr0074737,Shawn,Q9VWG0,20442489.6710849,75308750.0000002,39048077.4583506,51541749.9999997,75302500.000001,41913501.6904537,18511960.8835109,7270389.97726482,3858947.8446812,3858947.8446812,3858947.8446812,4041237.49748007,8004711.99711753,6633277.14060654,9344472.6411689,34441973.9223399,3858947.8446812
FBtr0344070;FBtr0074740,CG14210,Q9VWF8,32604368.5815255,18931624.0480373,100328750.000001,203609999.999999,223264500.000001,120289736.961172,122933749.999999,54315000.0000003,15748240.5803725,11369965.096186,9639327.63581528,11233759.4030891,7579222.97668792,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812
FBtr0332481;FBtr0074741,MKP-4,Q9VWF4,41031166.8276879,41943499.9999992,48851782.9518655,21763787.8873865,33853092.0208394,7204293.30742498,8075636.92108179,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,8333338.93463252,12009131.9966134,15220105.5690607,3858947.8446812
FBtr0074744;FBtr0074743;FBtr0334277;FBtr0079779;YNL288W,Rcd-1;Rcd-1r,Q7JVP2,1.475e+09,1694700000.00002,1753100000.00001,1184257500.00001,570177499.999994,288197500.000003,224575000,238712500,33563477.3556758,163994736.961173,212742999.999995,37193236.96117,13736473.9223405,54053581.3661801,84277194.3745787,189354999.999999,27968636.0501872
FBtr0345016;FBtr0074746,CG14215,Q9VWE6,346125000.000001,595622499.999992,671142499.999998,487239999.999996,233597499.999997,209375000.000002,45413516.7935608,13415800.0739029,7457494.4477772,13913881.0370643,9658874.39324529,12405074.29447,4938766.20896732,23840460.883511,5396883.98652188,20217148.4169905,3858947.8446812
FBtr0344152;FBtr0074747,Ssu72,Q9VWE4,3858947.8446812,5951960.88351092,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,9014654.82875446,3858947.8446812,3858947.8446812,3858947.8446812
FBtr0074748;FBtr0340611;FBtr0074749,Zw,B7FNK0,929250000.00001,706112500.00001,554462499.999997,737365000.000008,4201950000.00004,4563600000.00006,6845150000.0001,1053812500,3292525000,2903500000,3106649999.99997,2908125000.00001,2197600000,3691024999.99997,3304075000,2196424999.99999,5048825000.00003
FBtr0340612;FBtr0074750,Ubqn,Q9VWD9,913717500.000018,1334124999.99997,1379237500.00002,1476450000.00002,985249999.999998,1096357500.00002,807022499.999995,1053037500.00001,2480924999.99999,2605100000.00004,2371524999.99998,2230419999.99999,1956324999.99998,1250775000.00001,1122120000,910722500.000006,1072287500.00002
FBtr0309215;FBtr0309214;FBtr0074751,Cdc42,P40793,211295000,358930000.000005,495437499.999997,720162500,597072499.999993,662485000.000002,619912500,718582500.000007,800517500.000004,678730000.000007,734912499.999989,609154999.999996,821704999.999997,812867500.000009,699602500.000002,580952499.999993,567774999.999998
FBtr0074756,dome,Q9VWE0,70531500.0000006,155099999.999998,107655500.000002,115999999.999998,72573798.6840483,57829383.8534773,27316615.3417803,22370251.2192172,6491275.04026975,5611106.85224087,11141562.2884734,4895949.04768068,15044614.8577368,17998382.3183854,12489085.4086753,7987517.67440677,3858947.8446812
FBtr0340614;FBtr0074759,Ranbp21,Q9VWE7,1109282500.00001,1355522500,1250924999.99998,822370000.000008,685659999.999997,422932499.999998,408372499.999996,147660000.000003,14862105.0200785,19813346.8574945,45692532.0536857,31374692.5888608,3858947.8446812,12359401.9506835,5622124.79498876,48416524.5313431,3858947.8446812
FBtr0345991;FBtr0074760,Arp10,Q9VWE8,504985000.000009,550914999.99999,527912499.999999,339269999.999998,355857500,249124999.999998,182092499.999996,287955000.000002,15668019.3607581,116161321.438403,68730294.878152,108043076.503603,17296210.8835112,175872499.999999,198564499.999999,147246499.999997,138029473.922338
FBtr0074761,CG12237,Q9VWF0,110959250.000002,104260500,86356750.0000014,84480500.0000001,68809249.9999995,50908749.9999997,9209526.45318878,101275250,6745896.69883208,29067076.6231618,22028194.9156305,15252710.883511,22912485.9813059,96833249.9999997,116406249.999998,86161750.0000004,36208249.524484
FBtr0334281;FBtr0334278;FBtr0074762;FBtr0334280;FBtr0334279,e(y)3,Q9VWF2,33988856.2804868,45869479.6418425,158705000.000002,116117750,7028640.93914031,3556894.67598246,12733477.6507899,5150827.20358357,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,16847767.2881819,3858947.8446812,17895902.4993131,15338997.6506611
FBtr0332484;FBtr0332483;FBtr0074763;FBtr0332482,NAA20,Q9VWF5,522507499.999999,432924999.999997,440052500.000004,413432500.000004,340837500.000007,250647500.000002,294892499.999995,105550132.679757,120174403.970408,144272500.000001,119315765.262582,182175000.000001,143869345.736061,145934000,179210000,90502118.4443597,7318323.59186801
FBtr0344072;FBtr0074767,Tim9b,Q9Y0V3,52033250.0000003,58338499.9999994,63640000.0000005,62977986.9611709,43777763.8256118,52151433.488703,39229376.5748596,53454042.0320692,46967999.9999999,33932907.683019,49363499.9999997,49368882.942942,61435336.6660584,66479750,34993556.4982852,46648355.6367134,13240891.1390116
FBtr0303999;FBtr0074772;FBtr0074771;FBtr0336691;FBtr0074773;FBtr0304000;FBtr0074774;FBtr0309237;FBtr0336692,Tao,Q0KHQ5,69220999.9999993,103524750.000001,118441249.999998,117759250.000001,101510000.000001,75844554.5214539,36396121.4785484,112179249.999999,5432011.93135493,14111114.2178694,54058456.1586898,37537945.4347157,48117223.9223392,14607314.3232024,17034468.0441699,23181650.1724941,7370452.13592503
FBtr0301308;FBtr0074775;FBtr0343590;FBtr0074777;FBtr0301307;FBtr0074776,Grip84,E1JJQ3,1518799999.99999,1597675000.00003,1045822499.99998,640735000.00001,73704750.0000007,21527487.3038055,22552536.3979663,47860000.0000003,19228612.546521,34296774.6116834,38959075.3473916,60826781.1423527,10352523.4834742,20635768.9088612,72430825.0000001,73460001.9343124,20795690.0948634
FBtr0074784;FBtr0302082,pcm,Q9VWI1,791462500.000004,1040875000,1057549999.99998,705154999.999992,515497499.999991,300730000.000002,370125000.000007,81198000.0000002,37923993.3662897,54318987.3964712,61019250.0000015,154300054.468889,22613298.9209864,66498999.9999997,114432250.000002,128294749.999999,3858947.8446812
FBtr0346015;FBtr0074785,mRpS14,A0JQ38,155867499.999999,197952500.000001,226817499.999999,192142500.000003,212449999.999996,169329924.706942,96527510.9382417,76383773.0631326,19707206.4654886,58542645.3216612,11607989.2370473,26544377.6595543,137004888.290272,203039999.999996,187605000.000001,173461000.000001,52077166.6929886
FBtr0074787,CG14230,Q9VWD4,52730500,51802545.0734939,121227499.999999,145682499.999999,200120000,151694999.999999,213569999.999998,70198499.9999996,8646952.24129728,11268053.7031721,3858947.8446812,3858947.8446812,55589658.8327752,6680989.51248255,5740764.12803392,18613710.0267842,4882755.20369533
FBtr0074789,AP-1-2beta,Q24253,2247150000,2619375000.00003,2277125000.00003,2559224999.99998,2629249999.99998,1963825000.00001,2338275000,2151100000.00001,1488324999.99999,1743164999.99997,1907549999.99996,1659625000.00001,1244494999.99999,2228200000.00003,2734599999.99997,2198650000,2399500000.00003
FBtr0346042;FBtr0074793,parvin,Q9VWD0,83041000,77523750.0000002,200379999.999999,409917500.000006,1189425000.00002,1056237500.00001,1164750000.00001,1332999999.99999,1241655000.00002,898484999.999999,778587499.999997,694725000.000004,1238692500,1139452500,1169000000.00002,967390000.000003,1061564999.99998
FBtr0074794;FBtr0331763,Alr,Q7KUU5,59569750,23593689.0020883,47134520.8962853,44139400.8300168,46634421.2442742,39016732.5666395,23008837.1892077,99463933.3433509,37286443.0517668,41542438.9101751,26923554.9106854,32664812.0946503,59078000.0000002,50234801.0608945,9326727.33176219,65199139.4411547,24399906.5243622
