Phylostratum (ps),Protein_ID,Locus_tag,UniProt,T_LC,T_6H,T_12H,T_1D,T_2D,T_3D,T_5D,T_7D,T_14D,T_1M,T_2M,P_LC,P_12H,P_1D,P_2D,P_7D
1,AQZ88980.1,B4U62_00405,P37563,9.93e-05,0.000272549,0.000232944,0.000276376,0.000359364,0.000441538,0.000418806,0.000400456,0.000279259,0.000230082,6.16e-05,8.18e-06,5.47e-07,1.01e-05,1.6e-05,1.32e-06
1,AQZ88981.1,B4U62_00410,P37472,4.86e-05,0.000328879,0.000239306,0.000256693,0.000344038,0.000313438,0.000395814,0.000328782,0.000306638,0.000232944,4.8e-05,0.001042858,0.000688564,0.000872039,0.000770357,0.000310022
1,AQZ88982.1,B4U62_00415,P37476,0.000995491,0.001104083,0.000775635,0.00084147,0.0009256,0.00080383,0.000931822,0.000740804,0.000835611,0.000628794,0.000155885,0.001069225,0.000577028,0.000219587,0.001107284,0.006249183
1,AQZ88983.1,B4U62_00420,P37564,1.52e-05,7.8e-05,4.16e-05,4.47e-05,4.65e-05,4.16e-05,4.85e-05,4.18e-05,2.19e-05,2.56e-05,1.03e-05,0.000165132,5.01e-06,1e-05,3.1e-05,0.000203009
1,AQZ88984.1,B4U62_00425,P37565,7.15e-05,0.00010432,4.95e-05,5.81e-05,6.82e-05,5.29e-05,6.03e-05,5.06e-05,5.25e-05,3.01e-05,7.65e-06,8.88e-05,5.15e-05,3.32e-05,1.3e-05,2.97e-05
1,AQZ88985.1,B4U62_00430,P37566,8.69e-06,6.08e-05,2.36e-05,3.15e-05,4.36e-05,4.48e-05,4.09e-05,3.74e-05,1.77e-05,1.41e-05,5.59e-06,2.93e-05,1.14e-06,9.5e-06,2.49e-05,1.33e-05
1,AQZ88986.1,B4U62_00435,P37887,0.000159332,0.001482627,0.001401283,0.001320097,0.000574908,0.001131616,0.000573958,0.000800604,0.000945561,0.00110908,0.00025365,0.000928307,0.003149081,0.003968666,0.002614969,0.001206516
1,AQZ88987.1,B4U62_00440,P28820,1.32e-05,3.6e-05,5.46e-05,5.07e-05,3.84e-05,4.43e-05,2.85e-05,4.47e-05,2.24e-05,2.7e-05,1.12e-05,0.000104957,3.13e-06,7.06e-06,1.29e-05,2.14e-06
1,AQZ88988.1,B4U62_00445,P28819,3.6e-05,4.43e-05,0.000110452,4.34e-05,4.79e-05,3.83e-05,4.18e-05,4.53e-05,7.9e-05,3.68e-05,7.5e-06,3.02e-05,3.23e-06,0,4.52e-06,0
1,AQZ88989.1,B4U62_00450,P28821,1.8e-05,3.95e-05,5.09e-05,3.5e-05,3.09e-05,2.6e-05,2.48e-05,2.51e-05,2.77e-05,2.1e-05,6.77e-06,NA,NA,NA,NA,NA
1,AQZ88990.1,B4U62_00455,P28822,4.5e-05,5.74e-05,6.51e-05,4.97e-05,4.93e-05,4.33e-05,4.32e-05,4.36e-05,5.56e-05,2.62e-05,1.05e-05,2.28e-05,1.32e-06,2.7e-06,8.17e-06,2.39e-06
1,AQZ88991.1,B4U62_00460,P28823,3.21e-05,3.74e-05,5.16e-05,3.68e-05,3.87e-05,3.24e-05,3e-05,2.52e-05,1.89e-05,1.63e-05,2.35e-06,7.22e-05,6.04e-05,1.67e-05,0.000121404,4.67e-05
1,AQZ88992.1,B4U62_00465,P29252,5.91e-05,4.34e-05,5.38e-05,3.66e-05,4e-05,3.69e-05,3.51e-05,3.11e-05,2.07e-05,2.28e-05,6.77e-06,5.3e-05,8.72e-07,4.73e-07,1.59e-05,0
1,AQZ88994.1,B4U62_00475,P37567,0.000643429,0.000221718,0.000144378,0.000142385,0.000158509,0.000145615,0.000153768,0.000155829,0.000111973,6.92e-05,1.8e-05,1.56e-05,3.78e-06,2.78e-06,5.68e-06,4.41e-06
1,AQZ88995.1,B4U62_00480,P37477,0.000789071,0.000265972,0.000139734,0.000145852,0.000158706,0.000176059,0.000189954,0.000175209,0.000135388,6.68e-05,1.75e-05,0.00206471,0.000294573,0.000331512,0.000270395,0.000151601
1,AQZ88998.1,B4U62_00570,P37570,0.000284682,4.73e-05,0.000117308,6.73e-05,0.000205131,0.000362022,0.000362606,0.000456667,0.00058586,0.000503088,0.000131649,0.00017845,1.74e-05,4.84e-06,1.57e-05,1.26e-05
1,AQZ88999.1,B4U62_00575,P37571,0.003127676,0.000101274,0.000572426,0.000151182,0.00040625,0.000686044,0.000622774,0.000777529,0.001519092,0.000961875,0.000265344,0.001023518,0.001682024,0.001109328,0.000874952,0.000413363
1,AQZ89000.1,B4U62_00580,P37572,0.000522251,4.81e-05,0.000124684,4.83e-05,0.000116447,0.000190847,0.000225732,0.000289075,0.000716918,0.000496532,9.16e-05,3.95e-05,2.9e-06,8.25e-07,3.35e-06,0
1,AQZ89002.1,B4U62_00590,Q06754,0.000189742,5.15e-05,0.000112888,6.19e-05,0.000127528,0.000173451,0.000161749,0.000145278,0.000288717,0.000181575,5.8e-05,3.91e-05,5.73e-05,1.63e-05,3.06e-05,7.34e-05
1,AQZ89003.1,B4U62_00595,Q06755,0.000161183,6.35e-05,0.000123753,6.24e-05,0.000119243,0.000142706,0.00013422,0.000125053,0.000278702,0.000160172,3.36e-05,2.19e-05,1.52e-06,2.08e-06,1.24e-06,0
1,AQZ89004.1,B4U62_00600,Q06756,4.69e-06,1.8e-05,1.35e-05,1.14e-05,1.61e-05,1.4e-05,1.74e-05,1.19e-05,3.26e-05,1.32e-05,5.11e-07,1.87e-05,0.000181275,5.25e-05,9.68e-05,8.62e-06
1,AQZ89005.1,B4U62_00605,P22250,0.000312932,0.000445082,0.000285806,0.000241398,0.000263945,0.000331035,0.000386043,0.000321121,0.000182901,0.000124594,2.64e-05,0.000433589,0.000269206,0.000347629,0.000241724,0.000130619
1,AQZ89007.1,B4U62_00620,Q06752,6.91e-05,4.4e-05,6.07e-05,3.45e-05,5.19e-05,5.4e-05,6.27e-05,6.96e-05,5.13e-05,2.21e-05,6.26e-06,0.00011217,0.000165088,7.39e-05,0.000132479,0.000168061
1,AQZ89008.1,B4U62_00625,O31418,3.47e-05,2.58e-05,4.04e-05,2.32e-05,2.81e-05,2.4e-05,2.34e-05,2.24e-05,1.63e-05,1.35e-05,4.23e-06,3.72e-05,4.02e-05,2.08e-05,1.59e-05,0
